Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","8.59","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","48","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","3.39","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","47.51","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","263","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","18.31","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","18.06","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","84","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","6.52","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","23.49","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","133","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","8.25","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","72.04","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","342","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","26.17","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","109.38","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","612","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","44.42","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","45.64","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","260","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","16.6","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","121.6","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","496","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","40.71","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","87.22","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","370","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","29.53","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","34.08","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","182","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","12.66","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","67.04","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","334","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","25.12","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","4.04","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","18","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","1.54","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","71.37","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","328","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","24.97","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","81.46","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","376","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","26.8","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","65.77","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","247","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","674","Protein supply quantity (g/capita/day)","2943","Meat","2017","2017","g/capita/day","20.41","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","41.09","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","664","Food supply (kcal/capita/day)","2943","Meat","2017","2017","kcal/capita/day","213","Fc","Calculated data"
