Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","2","Afghanistan","5112","Stocks","1057","Chickens","2017","2017","1000 Head","13573","","Official data"
"QA","Live Animals","3","Albania","5112","Stocks","1057","Chickens","2017","2017","1000 Head","7835","","Official data"
"QA","Live Animals","4","Algeria","5112","Stocks","1057","Chickens","2017","2017","1000 Head","135018","Im","FAO data based on imputation methodology"
"QA","Live Animals","5","American Samoa","5112","Stocks","1057","Chickens","2017","2017","1000 Head","40","Im","FAO data based on imputation methodology"
"QA","Live Animals","7","Angola","5112","Stocks","1057","Chickens","2017","2017","1000 Head","36500","F","FAO estimate"
"QA","Live Animals","8","Antigua and Barbuda","5112","Stocks","1057","Chickens","2017","2017","1000 Head","158","Im","FAO data based on imputation methodology"
"QA","Live Animals","9","Argentina","5112","Stocks","1057","Chickens","2017","2017","1000 Head","118300","","Official data"
"QA","Live Animals","1","Armenia","5112","Stocks","1057","Chickens","2017","2017","1000 Head","3814","","Official data"
"QA","Live Animals","22","Aruba","5112","Stocks","1057","Chickens","2017","2017","1000 Head","","M","Data not available"
"QA","Live Animals","10","Australia","5112","Stocks","1057","Chickens","2017","2017","1000 Head","95012","","Official data"
"QA","Live Animals","11","Austria","5112","Stocks","1057","Chickens","2017","2017","1000 Head","16736","Im","FAO data based on imputation methodology"
"QA","Live Animals","52","Azerbaijan","5112","Stocks","1057","Chickens","2017","2017","1000 Head","30473","","Official data"
"QA","Live Animals","12","Bahamas","5112","Stocks","1057","Chickens","2017","2017","1000 Head","3163","Im","FAO data based on imputation methodology"
"QA","Live Animals","13","Bahrain","5112","Stocks","1057","Chickens","2017","2017","1000 Head","541","Im","FAO data based on imputation methodology"
"QA","Live Animals","16","Bangladesh","5112","Stocks","1057","Chickens","2017","2017","1000 Head","275183","","Official data"
"QA","Live Animals","14","Barbados","5112","Stocks","1057","Chickens","2017","2017","1000 Head","3666","Im","FAO data based on imputation methodology"
"QA","Live Animals","57","Belarus","5112","Stocks","1057","Chickens","2017","2017","1000 Head","46000","F","FAO estimate"
"QA","Live Animals","255","Belgium","5112","Stocks","1057","Chickens","2017","2017","1000 Head","26905","","Official data"
"QA","Live Animals","23","Belize","5112","Stocks","1057","Chickens","2017","2017","1000 Head","1621","Im","FAO data based on imputation methodology"
"QA","Live Animals","53","Benin","5112","Stocks","1057","Chickens","2017","2017","1000 Head","20643","","Official data"
"QA","Live Animals","17","Bermuda","5112","Stocks","1057","Chickens","2017","2017","1000 Head","51","Im","FAO data based on imputation methodology"
"QA","Live Animals","18","Bhutan","5112","Stocks","1057","Chickens","2017","2017","1000 Head","1068","","Official data"
"QA","Live Animals","19","Bolivia (Plurinational State of)","5112","Stocks","1057","Chickens","2017","2017","1000 Head","222671","Im","FAO data based on imputation methodology"
"QA","Live Animals","80","Bosnia and Herzegovina","5112","Stocks","1057","Chickens","2017","2017","1000 Head","16282","","Official data"
"QA","Live Animals","20","Botswana","5112","Stocks","1057","Chickens","2017","2017","1000 Head","710","","Official data"
"QA","Live Animals","21","Brazil","5112","Stocks","1057","Chickens","2017","2017","1000 Head","1426659","","Official data"
"QA","Live Animals","26","Brunei Darussalam","5112","Stocks","1057","Chickens","2017","2017","1000 Head","17051","","Official data"
"QA","Live Animals","27","Bulgaria","5112","Stocks","1057","Chickens","2017","2017","1000 Head","12448","","Official data"
"QA","Live Animals","233","Burkina Faso","5112","Stocks","1057","Chickens","2017","2017","1000 Head","43064","Im","FAO data based on imputation methodology"
"QA","Live Animals","29","Burundi","5112","Stocks","1057","Chickens","2017","2017","1000 Head","2300","F","FAO estimate"
"QA","Live Animals","35","Cabo Verde","5112","Stocks","1057","Chickens","2017","2017","1000 Head","1000","F","FAO estimate"
"QA","Live Animals","115","Cambodia","5112","Stocks","1057","Chickens","2017","2017","1000 Head","13508","Im","FAO data based on imputation methodology"
"QA","Live Animals","32","Cameroon","5112","Stocks","1057","Chickens","2017","2017","1000 Head","51100","F","FAO estimate"
"QA","Live Animals","33","Canada","5112","Stocks","1057","Chickens","2017","2017","1000 Head","169969","Im","FAO data based on imputation methodology"
"QA","Live Animals","36","Cayman Islands","5112","Stocks","1057","Chickens","2017","2017","1000 Head","6","Im","FAO data based on imputation methodology"
"QA","Live Animals","37","Central African Republic","5112","Stocks","1057","Chickens","2017","2017","1000 Head","7425","Im","FAO data based on imputation methodology"
"QA","Live Animals","39","Chad","5112","Stocks","1057","Chickens","2017","2017","1000 Head","6176","Im","FAO data based on imputation methodology"
"QA","Live Animals","40","Chile","5112","Stocks","1057","Chickens","2017","2017","1000 Head","109973","","Official data"
"QA","Live Animals","351","China","5112","Stocks","1057","Chickens","2017","2017","1000 Head","5301954","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","44","Colombia","5112","Stocks","1057","Chickens","2017","2017","1000 Head","163801","Im","FAO data based on imputation methodology"
