Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","2","Afghanistan","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","13573","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","3","Albania","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","8244","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","4","Algeria","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","135204","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5","American Samoa","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","40","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","7","Angola","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","36500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","8","Antigua and Barbuda","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","158","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","9","Argentina","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","124053","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","1","Armenia","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","3973","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","22","Aruba","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","10","Australia","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","97531","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","11","Austria","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","17443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","52","Azerbaijan","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","31630","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","12","Bahamas","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","3163","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","13","Bahrain","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","541","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","16","Bangladesh","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","329199","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","14","Barbados","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","3738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","57","Belarus","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","49422","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","255","Belgium","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","27343","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","23","Belize","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","1684","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","53","Benin","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","20643","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","17","Bermuda","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","18","Bhutan","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","1068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","19","Bolivia (Plurinational State of)","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","223496","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","80","Bosnia and Herzegovina","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","16450","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","20","Botswana","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","710","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","21","Brazil","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","1463033","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","26","Brunei Darussalam","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","17286","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","27","Bulgaria","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","13625","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","233","Burkina Faso","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","43064","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","29","Burundi","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","2300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","35","Cabo Verde","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","1000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","115","Cambodia","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","22303","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","32","Cameroon","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","51100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","33","Canada","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","177465","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","36","Cayman Islands","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","37","Central African Republic","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","7438","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","39","Chad","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","6176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","40","Chile","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","135973","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","351","China","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","6312664","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","96","China, Hong Kong SAR","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","8510","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","128","China, Macao SAR","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","772","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","41","China, mainland","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","6200723","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","214","China, Taiwan Province of","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","102659","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","44","Colombia","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","163801","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","45","Comoros","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","546","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","46","Congo","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","2935","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","47","Cook Islands","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","48","Costa Rica","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","25504","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","107","Côte d'Ivoire","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","59845","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","98","Croatia","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","10397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","49","Cuba","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","25635","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","50","Cyprus","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","3571","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","167","Czechia","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","21495","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","116","Democratic People's Republic of Korea","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","22325","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","250","Democratic Republic of the Congo","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","19273","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","54","Denmark","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","21215","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","55","Dominica","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","199","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","56","Dominican Republic","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","184000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","58","Ecuador","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","161299","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","59","Egypt","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","177222","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","60","El Salvador","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","17235","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","61","Equatorial Guinea","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","410","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","178","Eritrea","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","1199","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","63","Estonia","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","2223","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","209","Eswatini","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","3795","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","238","Ethiopia","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","59158","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","65","Falkland Islands (Malvinas)","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","66","Fiji","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","5477","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","67","Finland","5112","Stocks","2029","Poultry Birds","2017","2017","1000 Head","8339","A","Aggregate, may include official, semi-official, estimated or calculated data"
