Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","2","Afghanistan","5321","Producing Animals/Slaughtered","1808","Meat, Poultry","2017","2017","1000 Head","34397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","2","Afghanistan","5424","Yield/Carcass Weight","1808","Meat, Poultry","2017","2017","0.1g/An","8000","Fc","Calculated data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1808","Meat, Poultry","2017","2017","tonnes","27518","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","3","Albania","5321","Producing Animals/Slaughtered","1808","Meat, Poultry","2017","2017","1000 Head","12031","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","3","Albania","5424","Yield/Carcass Weight","1808","Meat, Poultry","2017","2017","0.1g/An","10732","Fc","Calculated data"
"QL","Livestock Primary","3","Albania","5510","Production","1808","Meat, Poultry","2017","2017","tonnes","12912","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","4","Algeria","5321","Producing Animals/Slaughtered","1808","Meat, Poultry","2017","2017","1000 Head","282641","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","4","Algeria","5424","Yield/Carcass Weight","1808","Meat, Poultry","2017","2017","0.1g/An","10524","Fc","Calculated data"
"QL","Livestock Primary","4","Algeria","5510","Production","1808","Meat, Poultry","2017","2017","tonnes","297464","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5","American Samoa","5321","Producing Animals/Slaughtered","1808","Meat, Poultry","2017","2017","1000 Head","31","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","5","American Samoa","5424","Yield/Carcass Weight","1808","Meat, Poultry","2017","2017","0.1g/An","8000","Fc","Calculated data"
"QL","Livestock Primary","5","American Samoa","5510","Production","1808","Meat, Poultry","2017","2017","tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","7","Angola","5321","Producing Animals/Slaughtered","1808","Meat, Poultry","2017","2017","1000 Head","29857","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","7","Angola","5424","Yield/Carcass Weight","1808","Meat, Poultry","2017","2017","0.1g/An","9000","Fc","Calculated data"
"QL","Livestock Primary","7","Angola","5510","Production","1808","Meat, Poultry","2017","2017","tonnes","26871","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","8","Antigua and Barbuda","5321","Producing Animals/Slaughtered","1808","Meat, Poultry","2017","2017","1000 Head","80","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","8","Antigua and Barbuda","5424","Yield/Carcass Weight","1808","Meat, Poultry","2017","2017","0.1g/An","12000","Fc","Calculated data"
"QL","Livestock Primary","8","Antigua and Barbuda","5510","Production","1808","Meat, Poultry","2017","2017","tonnes","96","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","9","Argentina","5321","Producing Animals/Slaughtered","1808","Meat, Poultry","2017","2017","1000 Head","732938","A","Aggregate, may include official, semi-official, estimated or calculated data"
