Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","35383.03","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","36296.11","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2901","Grand Total","2016","2016","kcal/capita/day","2001","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2901","Grand Total","2017","2017","kcal/capita/day","2000","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2016","2016","g/capita/day","54.56","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2017","2017","g/capita/day","54.09","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2016","2016","kcal/capita/day","195","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","191","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2016","2016","g/capita/day","10.52","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","10.55","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","2886.44","S","Standardized data"
"FBS","New Food Balances","3","Albania","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","2884.17","S","Standardized data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2901","Grand Total","2016","2016","kcal/capita/day","3352","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2901","Grand Total","2017","2017","kcal/capita/day","3400","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2016","2016","g/capita/day","117.28","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2017","2017","g/capita/day","119.55","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2016","2016","kcal/capita/day","1038","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1094","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2016","2016","g/capita/day","62.37","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","66.34","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","40551.39","S","Standardized data"
"FBS","New Food Balances","4","Algeria","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","41389.19","S","Standardized data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2901","Grand Total","2016","2016","kcal/capita/day","3359","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2901","Grand Total","2017","2017","kcal/capita/day","3349","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2016","2016","g/capita/day","92.45","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2017","2017","g/capita/day","92.91","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2016","2016","kcal/capita/day","404","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","404","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2016","2016","g/capita/day","25.57","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","25.71","Fc","Calculated data"
