Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","28937","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","28934","","Official data"
"TP","Crops and livestock products","3","Albania","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","34988","R","Estimated data using trading partners database"
"TP","Crops and livestock products","3","Albania","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","42566","R","Estimated data using trading partners database"
"TP","Crops and livestock products","4","Algeria","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","0","","Official data"
"TP","Crops and livestock products","4","Algeria","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","2","","Official data"
"TP","Crops and livestock products","5","American Samoa","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","5","American Samoa","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","5","American Samoa","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","5","American Samoa","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","7","Angola","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","265888","R","Estimated data using trading partners database"
"TP","Crops and livestock products","7","Angola","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","298200","R","Estimated data using trading partners database"
"TP","Crops and livestock products","7","Angola","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","7","Angola","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","8","Antigua and Barbuda","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","6144","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","11927","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","8","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","15","","Official data"
"TP","Crops and livestock products","9","Argentina","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","2097","","Official data"
"TP","Crops and livestock products","9","Argentina","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","3891","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","204099","","Official data"
"TP","Crops and livestock products","9","Argentina","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","285244","","Official data"
"TP","Crops and livestock products","1","Armenia","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","34419","","Official data"
"TP","Crops and livestock products","1","Armenia","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","39238","","Official data"
"TP","Crops and livestock products","22","Aruba","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","5583","","Official data"
"TP","Crops and livestock products","22","Aruba","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","11545","","Official data"
"TP","Crops and livestock products","22","Aruba","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","1","","Official data"
"TP","Crops and livestock products","22","Aruba","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","1","","Official data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","3043","*","Unofficial figure"
"TP","Crops and livestock products","10","Australia","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","13000","F","FAO estimate"
"TP","Crops and livestock products","10","Australia","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","38284","","Official data"
"TP","Crops and livestock products","10","Australia","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","46957","","Official data"
"TP","Crops and livestock products","11","Austria","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","45022","","Official data"
"TP","Crops and livestock products","11","Austria","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","152854","","Official data"
"TP","Crops and livestock products","11","Austria","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","38057","","Official data"
"TP","Crops and livestock products","11","Austria","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","132684","","Official data"
"TP","Crops and livestock products","52","Azerbaijan","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","23715","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","29899","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","69","*","Unofficial figure"
"TP","Crops and livestock products","52","Azerbaijan","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","99","*","Unofficial figure"
"TP","Crops and livestock products","12","Bahamas","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","20762","R","Estimated data using trading partners database"
"TP","Crops and livestock products","12","Bahamas","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","40497","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","47148","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","79304","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","8","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","29","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","167","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","118","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","5","R","Estimated data using trading partners database"
"TP","Crops and livestock products","14","Barbados","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","562","","Official data"
"TP","Crops and livestock products","14","Barbados","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","1858","","Official data"
"TP","Crops and livestock products","14","Barbados","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","86","","Official data"
"TP","Crops and livestock products","14","Barbados","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","302","","Official data"
"TP","Crops and livestock products","57","Belarus","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","17840","","Official data"
"TP","Crops and livestock products","57","Belarus","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","11833","","Official data"
"TP","Crops and livestock products","57","Belarus","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","148968","","Official data"
"TP","Crops and livestock products","57","Belarus","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","220350","","Official data"
"TP","Crops and livestock products","255","Belgium","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","212149","","Official data"
"TP","Crops and livestock products","255","Belgium","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","329934","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","542999","","Official data"
"TP","Crops and livestock products","255","Belgium","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","880087","","Official data"
"TP","Crops and livestock products","23","Belize","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","3","*","Unofficial figure"
"TP","Crops and livestock products","23","Belize","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","4","*","Unofficial figure"
"TP","Crops and livestock products","23","Belize","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","23","Belize","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","53","Benin","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","79466","R","Estimated data using trading partners database"
"TP","Crops and livestock products","53","Benin","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","89077","R","Estimated data using trading partners database"
"TP","Crops and livestock products","53","Benin","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","5","F","FAO estimate"
"TP","Crops and livestock products","53","Benin","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","6","R","Estimated data using trading partners database"
"TP","Crops and livestock products","17","Bermuda","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","3241","R","Estimated data using trading partners database"
"TP","Crops and livestock products","17","Bermuda","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","7176","","Official data"
"TP","Crops and livestock products","17","Bermuda","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","2","","Official data"
"TP","Crops and livestock products","17","Bermuda","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","63","","Official data"
"TP","Crops and livestock products","18","Bhutan","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","1298","R","Estimated data using trading partners database"
"TP","Crops and livestock products","18","Bhutan","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","1683","R","Estimated data using trading partners database"
"TP","Crops and livestock products","19","Bolivia (Plurinational State of)","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","690","","Official data"
"TP","Crops and livestock products","19","Bolivia (Plurinational State of)","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","645","","Official data"
"TP","Crops and livestock products","19","Bolivia (Plurinational State of)","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","848","","Official data"
"TP","Crops and livestock products","19","Bolivia (Plurinational State of)","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","1147","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","7409","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","7109","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","4217","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","5901","","Official data"
"TP","Crops and livestock products","20","Botswana","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","2231","","Official data"
"TP","Crops and livestock products","20","Botswana","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","2723","","Official data"
"TP","Crops and livestock products","20","Botswana","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","4","","Official data"
"TP","Crops and livestock products","20","Botswana","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","20","","Official data"
"TP","Crops and livestock products","21","Brazil","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","3306","","Official data"
"TP","Crops and livestock products","21","Brazil","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","8320","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","3944215","","Official data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","6427893","","Official data"
"TP","Crops and livestock products","239","British Virgin Islands","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","1727","R","Estimated data using trading partners database"
"TP","Crops and livestock products","239","British Virgin Islands","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","3524","R","Estimated data using trading partners database"
"TP","Crops and livestock products","239","British Virgin Islands","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","239","British Virgin Islands","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","1486","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","2956","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","96121","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","105200","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","30005","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5922","Export Value","1058","Meat, chicken","2017","2017","1000 US$","72561","","Official data"
"TP","Crops and livestock products","233","Burkina Faso","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","75","","Official data"
"TP","Crops and livestock products","233","Burkina Faso","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","68","","Official data"
"TP","Crops and livestock products","29","Burundi","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","4","","Official data"
"TP","Crops and livestock products","29","Burundi","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","8","","Official data"
"TP","Crops and livestock products","35","Cabo Verde","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","10731","","Official data"
"TP","Crops and livestock products","35","Cabo Verde","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","12406","","Official data"
"TP","Crops and livestock products","115","Cambodia","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","8129","R","Estimated data using trading partners database"
"TP","Crops and livestock products","115","Cambodia","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","13596","R","Estimated data using trading partners database"
"TP","Crops and livestock products","32","Cameroon","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","9","","Official data"
