Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","2074","Poultry Meat","2017","2017","tonnes","29251","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","2","Afghanistan","5622","Import Value","2074","Poultry Meat","2017","2017","1000 US$","29744","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","3","Albania","5610","Import Quantity","2074","Poultry Meat","2017","2017","tonnes","38975","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","3","Albania","5622","Import Value","2074","Poultry Meat","2017","2017","1000 US$","47676","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","3","Albania","5910","Export Quantity","2074","Poultry Meat","2017","2017","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","3","Albania","5922","Export Value","2074","Poultry Meat","2017","2017","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","4","Algeria","5610","Import Quantity","2074","Poultry Meat","2017","2017","tonnes","2408","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","4","Algeria","5622","Import Value","2074","Poultry Meat","2017","2017","1000 US$","5194","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","4","Algeria","5910","Export Quantity","2074","Poultry Meat","2017","2017","tonnes","222","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","4","Algeria","5922","Export Value","2074","Poultry Meat","2017","2017","1000 US$","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5","American Samoa","5610","Import Quantity","2074","Poultry Meat","2017","2017","tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5","American Samoa","5622","Import Value","2074","Poultry Meat","2017","2017","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5","American Samoa","5910","Export Quantity","2074","Poultry Meat","2017","2017","tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","5","American Samoa","5922","Export Value","2074","Poultry Meat","2017","2017","1000 US$","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","7","Angola","5610","Import Quantity","2074","Poultry Meat","2017","2017","tonnes","277440","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","7","Angola","5622","Import Value","2074","Poultry Meat","2017","2017","1000 US$","313922","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","7","Angola","5910","Export Quantity","2074","Poultry Meat","2017","2017","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","7","Angola","5922","Export Value","2074","Poultry Meat","2017","2017","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5610","Import Quantity","2074","Poultry Meat","2017","2017","tonnes","7029","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5622","Import Value","2074","Poultry Meat","2017","2017","1000 US$","13771","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5910","Export Quantity","2074","Poultry Meat","2017","2017","tonnes","8","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5922","Export Value","2074","Poultry Meat","2017","2017","1000 US$","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","9","Argentina","5610","Import Quantity","2074","Poultry Meat","2017","2017","tonnes","9185","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","9","Argentina","5622","Import Value","2074","Poultry Meat","2017","2017","1000 US$","13777","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","2074","Poultry Meat","2017","2017","tonnes","208039","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","9","Argentina","5922","Export Value","2074","Poultry Meat","2017","2017","1000 US$","294299","A","Aggregate, may include official, semi-official, estimated or calculated data"
