Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TA","Live animals","2","Afghanistan","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","17064","R","Estimated data using trading partners database"
"TA","Live animals","2","Afghanistan","5622","Import Value","1057","Chickens","2017","2017","1000 US$","8204","R","Estimated data using trading partners database"
"TA","Live animals","3","Albania","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","5860","R","Estimated data using trading partners database"
"TA","Live animals","3","Albania","5622","Import Value","1057","Chickens","2017","2017","1000 US$","4138","R","Estimated data using trading partners database"
"TA","Live animals","4","Algeria","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","4790","R","Estimated data using trading partners database"
"TA","Live animals","4","Algeria","5622","Import Value","1057","Chickens","2017","2017","1000 US$","19051","","Official data"
"TA","Live animals","7","Angola","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","1649","R","Estimated data using trading partners database"
"TA","Live animals","7","Angola","5622","Import Value","1057","Chickens","2017","2017","1000 US$","1814","R","Estimated data using trading partners database"
"TA","Live animals","8","Antigua and Barbuda","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","10","","Official data"
"TA","Live animals","8","Antigua and Barbuda","5622","Import Value","1057","Chickens","2017","2017","1000 US$","35","","Official data"
"TA","Live animals","8","Antigua and Barbuda","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","2","","Official data"
"TA","Live animals","8","Antigua and Barbuda","5922","Export Value","1057","Chickens","2017","2017","1000 US$","6","","Official data"
"TA","Live animals","9","Argentina","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","671","","Official data"
"TA","Live animals","9","Argentina","5622","Import Value","1057","Chickens","2017","2017","1000 US$","14940","","Official data"
"TA","Live animals","9","Argentina","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","440","","Official data"
"TA","Live animals","9","Argentina","5922","Export Value","1057","Chickens","2017","2017","1000 US$","1445","","Official data"
"TA","Live animals","1","Armenia","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","6821","","Official data"
"TA","Live animals","1","Armenia","5622","Import Value","1057","Chickens","2017","2017","1000 US$","4169","","Official data"
"TA","Live animals","22","Aruba","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","9","","Official data"
